partnerId,partnerName,totalLeads,lastLeadDate,mouContractDate,ownerName,partnerType,conversionRate,cwConversionRate,activeMonthCount,inactiveMonthCount,consecutiveInactiveMonths,inactiveAfterMouCount,monthsAfterMouCount,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02
001IR00001q1h0pYAA,"엠케이기획",11,2025-01-22,2023-09-13,"명세준",,18,100,3,23,13,23,26,0,0,0,0,0,0,0,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
001IR00001q1h1qYAA,"한국정보마케팅",7,2025-01-20,2024-04-09,"명세준",,29,100,2,24,13,21,23,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
001IR00001q1h4SYAQ,"디오스글로벌",2,2025-01-22,2024-01-31,"오유정",,50,0,2,24,13,24,26,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
001IR00001q1h1xYAA,"한강정보시스템",1,2025-01-24,,"명세준",,100,100,1,25,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
001IR00001q1h5CYAQ,"티씨소프트웨어",4,2025-01-22,2024-05-17,"정용현",사업자,100,75,3,23,13,19,22,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
001TJ00000BXCQgYAP,"대교정보통신",1,2025-01-21,,"정용현",,100,0,1,25,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
001IR00001q1wTeYAI,"제일좋은솔루션",3,2025-01-20,2024-05-27,"명세준",,100,67,2,24,13,20,22,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
001TJ00000BLTvAYAX,"주식회사 인토시스(티지테크놀로지)",1,2025-01-16,2025-01-16,"명세준",,100,0,1,25,13,13,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
001IR00001q1gmOYAQ,"코리아",2,2025-01-14,2022-10-18,"명세준",,100,100,2,24,13,24,26,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
001IR00001q1h3TYAQ,"포비즈1",1,2025-01-02,2023-10-23,"명세준",,100,0,1,25,13,25,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
001IR00001q1h5GYAQ,"시너지파트너스",2,2025-01-02,2024-05-20,"박해규",,100,50,2,24,13,20,22,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
001IR00001q1gm8YAA,"제로시스템",1,2025-01-02,2022-08-11,"명세준",,100,0,1,25,13,25,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
001IR00001q1gmbYAA,"카드플러스",1,2025-02-14,2022-10-24,"명세준",,0,0,1,25,12,25,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
001IR00001q1h1lYAA,"정우정보통신",7,2025-02-13,2022-12-06,"명세준",,14,100,2,24,12,24,26,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001IR00001q1glpYAA,"카드뱅크",3,2025-02-17,2022-08-31,"명세준",,33,0,2,24,12,24,26,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
001IR00001q1h2yYAA,"그래통신",2,2025-02-27,2024-02-16,"명세준",,50,100,2,24,12,23,25,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
001IR00001q1h5DYAQ,"장순욱",6,2025-02-10,2024-05-23,"명세준",,50,33,6,20,12,16,22,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
001IR00001q1h1hYAA,"더조은사람들",2,2025-02-06,2023-09-11,"명세준",,50,0,2,24,12,24,26,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
001IR00001q1gldYAA,"아이오더컴퍼니",6,2025-02-05,2022-05-27,"명세준",,50,33,4,22,12,22,26,0,0,0,0,0,0,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
001IR00001q1rTdYAI,"다브인터내셔널",11,2025-02-27,2024-09-26,"명세준",,55,50,6,20,12,12,18,0,0,0,0,0,0,0,0,1,2,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0
001IR00001q1h1YYAQ,"더비즈코리아",3,2025-02-17,2023-01-04,"명세준",,67,100,3,23,12,23,26,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
001TJ00000AJsLVYA1,"IT정보통신",3,2025-02-05,2024-12-19,"명세준",,67,50,2,24,12,13,15,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
001IR00001q1nvPYAQ,"김태형(이미애)",12,2025-02-19,2024-11-08,"명세준",개인,92,9,6,20,12,13,16,0,0,0,0,0,0,0,4,2,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
001IR00001q1gmeYAA,"백성일",1,2025-02-24,2022-05-25,"장성원",,100,100,1,25,12,25,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
001TJ00000AVT9eYAH,"신안네트웍스",2,2025-02-17,,"명세준",,100,100,2,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
001TJ00000BcdGYYAZ,"정호정보통신",5,2025-02-13,,"민재홍",사업자,100,80,2,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0
001IR00001q1h0RYAQ,"(등록X)한국정보유니온",4,2025-02-11,2022-08-26,"장성원",,100,75,4,22,12,22,26,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
001IR00001q1wBpYAI,"주식회사 세롬",3,2025-02-10,2024-02-26,"명세준",,100,67,3,23,12,22,25,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
001IR00001uceDtYAI,"가전총판",2,2025-02-07,2024-11-07,"명세준",사업자,100,50,2,24,12,14,16,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
001IR00001q1gmSYAQ,"연합정보시스템",2,2025-02-05,2022-09-24,"명세준",,100,50,1,25,12,25,26,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001TJ00000C5siPYAR,"스피드맥",1,2025-02-05,,"명세준",사업자,100,100,1,25,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
001IR00001q1oRkYAI,"애드뱅크",1,2025-02-04,2024-08-09,"명세준",,100,0,1,25,12,18,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
001IR00001q1uCjYAI,"임연선(개인)",3,2025-02-03,2024-08-28,"명세준",,100,100,3,23,12,16,19,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
001IR00001q1h1wYAA,"다온포스정보통신",1,2025-03-26,2023-05-23,"명세준",,0,0,1,25,11,25,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
001IR00001uc6wbYAA,"케이투네트웍스",1,2025-03-21,2023-06-07,"명세준",,0,0,1,25,11,25,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
001TJ00000DfLdhYAF,"다오픈",1,2025-03-12,,"민재홍",,0,0,1,25,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
001IR00001q1goHYAQ,"한국카드체크",1,2025-03-06,2023-02-22,"명세준",,0,0,1,25,11,25,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
001IR00001q1gltYAA,"대동I&C",3,2025-03-05,2022-07-07,"명세준",,0,0,2,24,11,24,26,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
001IR00001q1gnkYAA,"퍼스트밴",4,2025-03-24,2023-03-08,"명세준",,25,0,2,24,11,24,26,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
001IR00001q1gmyYAA,"관동정보통신",9,2025-03-19,2022-12-28,"명세준",,33,100,5,21,11,21,26,0,0,0,0,0,0,0,5,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
001IR00001q1h5pYAA,"한국나래정보기술(유평열)",3,2025-03-17,,"장성원",,33,100,2,24,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
001IR00001q1gn4YAA,"앤씨정보통신",13,2025-03-18,2023-04-07,"명세준",,46,100,5,21,11,21,26,0,0,0,0,0,0,0,5,0,1,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0
001IR00001q1h3BYAQ,"코리아포스",4,2025-03-28,2023-10-11,"명세준",,50,100,3,23,11,23,26,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
001IR00001q1p07YAA,"파트너_파트너사미정",4,2025-03-20,,"장성원",,75,100,4,22,11,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
001IR00001q1h0uYAA,"보니스",11,2025-03-06,2023-04-14,"명세준",,82,33,7,19,11,19,26,0,0,0,0,0,0,0,3,0,1,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0
001IR00001v7fvNYAQ,"OK정보통신(김정신)",2,2025-03-25,,"명세준",,100,100,2,24,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
001TJ00000DmANSYA3,"이음정보통신(제로포스)",1,2025-03-14,,"정용현",,100,100,1,25,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
001IR00001q1h58YAA,"퍼스트카드넷",2,2025-03-12,2024-03-26,"명세준",,100,100,2,24,11,22,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
001IR00001ubi5QYAQ,"위아컴퍼니",1,2025-03-06,2022-06-29,"명세준",,100,100,1,25,11,25,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
001IR00001q1h4CYAQ,"인포",1,2025-03-05,2024-03-08,"명세준",,100,100,1,25,11,23,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
